Wings,1927,1,true
The Racket,1928,1
Seventh Heaven,1927,1
The Broadway Melody,1929,2,true
Alibi,1929,2
The Hollywood Revue of 1929,1929,2
In Old Arizona,1928,2
The Patriot,1928,2
All Quiet on the Western Front,1930,3,true
The Big House,1930,3
Disraeli,1929,3
The Divorcee,1930,3
The Love Parade,1929,3
Cimarron,1931,4,true
East Lynne,1931,4
The Front Page,1931,4
Skippy,1931,4
Trader Horn,1931,4
Grand Hotel,1932,5,true
Arrowsmith,1931,5
Bad Girl,1931,5
The Champ,1931,5
Five Star Final,1931,5
One Hour with You,1932,5
Shanghai Express,1932,5
The Smiling Lieutenant,1931,5
Cavalcade,1933,6,true
42nd Street,1933,6
A Farewell to Arms,1932,6
I Am a Fugitive from a Chain Gang,1932,6
Lady for a Day,1933,6
Little Women,1933,6
The Private Life of Henry VIII,1933,6
She Done Him Wrong,1933,6
Smilin' Through,1932,6
State Fair,1933,6
It Happened One Night,1934,7,true
The Barretts of Wimpole Street,1934,7
Cleopatra,1934,7
Flirtation Walk,1934,7
The Gay Divorcee,1934,7
Here Comes the Navy,1934,7
The House of Rothschild,1934,7
Imitation of Life,1934,7
One Night of Love,1934,7
The Thin Man,1934,7
Viva Villa!,1934,7
The White Parade,1934,7
Mutiny on the Bounty,1935,8,true
Alice Adams,1935,8
Broadway Melody of 1936,1935,8
Captain Blood,1935,8
David Copperfield,1935,8
The Informer,1935,8
The Lives of a Bengal Lancer,1935,8
A Midsummer Night's Dream,1935,8
Les Miserables,1935,8
Naughty Marietta,1935,8
Ruggles of Red Gap,1935,8
Top Hat,1935,8
The Great Ziegfeld,1936,9,true
Anthony Adverse,1936,9
Dodsworth,1936,9
Libeled Lady,1936,9
Mr. Deeds Goes to Town,1936,9
Romeo and Juliet,1936,9
San Francisco,1936,9
The Story of Louis Pasteur,1936,9
A Tale of Two Cities,1935,9
Three Smart Girls,1936,9
The Life of Emile Zola,1937,10,true
The Awful Truth,1937,10
Captains Courageous,1937,10
Dead End,1937,10
The Good Earth,1937,10
In Old Chicago,1937,10
Lost Horizon,1937,10
One Hundred Men and a Girl,1937,10
Stage Door,1937,10
A Star Is Born,1937,10
You Can't Take It With You,1938,11,true
The Adventures of Robin Hood,1938,11
Alexander's Ragtime Band,1938,11
Boys Town,1938,11
The Citadel,1938,11
Four Daughters,1938,11
Grand Illusion,1937,11
Jezebel,1938,11
Pygmalion,1938,11
Test Pilot,1938,11
Gone with the Wind,1939,12,true
Dark Victory,1939,12
Goodbye, Mr. Chips,1939,12
Love Affair,1939,12
Mr. Smith Goes to Washington,1939,12
Ninotchka,1939,12
Of Mice and Men,1939,12
Stagecoach,1939,12
The Wizard of Oz,1939,12
Wuthering Heights,1939,12
Rebecca,1940,13,true
All This, and Heaven Too,1940,13
Foreign Correspondent,1940,13
The Grapes of Wrath,1940,13
Kitty Foyle,1940,13
The Letter,1940,13
The Long Vogage Home,1940,13
Our Town,1940,13
The Philadelphia Story,1940,13
How Green Was My Valley,1941,14,true
Blossoms in the Dust,1941,14
Citizen Kane,1941,14
Here Comes Mr. Jordan,1941,14
Hold Back the Dawn,1941,14
The Little Foxes,1941,14
The Maltese Falcon,1941,14
One Foot in Heaven,1941,14
Sergeant York,1941,14
Suspicion,1941,14
Mrs. Miniver,1942,15,true
The Invaders,1942,15
Kings Row,1942,15
The Magnificent Ambersons,1942,15
The Pied Piper,1942,15
The Pride of the Yankees,1942,15
Random Harvest,1942,15
The Talk of the Town,1942,15
Wake Island,1942,15
Yankee Doodle Dandy,1942,15
Casablanca,1942,16,true
For Whom the Bell Tolls,1943,16
Heaven Can Wait,1943,16
The Human Comedy,1943,16
In Which We Serve,1942,16
Madame Curie,1943,16
The More the Merrier,1943,16
The Ox-Bow Incident,1943,16
The Song of Bernadette,1943,16
Watch on the Rhine,1943,16
Going My Way,1944,17,true
Double Indemnity,1944,17
Gaslight,1944,17
Since You Went Away,1944,17
Wilson,1944,17
The Lost Weekend,1945,18,true
Anchors Aweigh,1945,18
The Bells of St. Mary's,1945,18
Mildred Pierce,1945,18
Spellbound,1945,18
The Best Years of Our Lives,1946,19,true
Henry V,1946,19
It's a Wonderful Life,1946,19
The Razor's Edge,1946,19
The Yearling,1946,19
Gentleman's Agreement,1947,20,true
The Bishop's Wife,1947,20
Crossfire,1947,20
Great Expectations,1947,20
Miracle on 34th Street,1947,20
Hamlet,1948,21,true
Johnny Belinda,1948,21
The Red Shoes,1948,21
The Snake Pit,1948,21
The Treasure of the Sierra Madre,1948,21
All the King's Men,1949,22,true
Battleground,1949,22
The Heiress,1949,22
A Letter to Three Wives,1949,22
Twelve O'Clock High,1949,22
All About Eve,1950,23,true
Born Yesterday,1950,23
Father of the Bride,1950,23
King Solomon's Mines,1950,23
Sunset Boulevard,1950,23
An American in Paris,1951,24,true
Decision Before Dawn,1951,24
A Place in the Sun,1951,24
Quo Vadis,1951,24
A Streetcar Named Desire,1951,24
The Greatest Show on Earth,1952,25,true
High Noon,1952,25
Ivanhoe,1952,25
Moulin Rouge,1952,25
The Quiet Man,1952,25
From Here to Eternity,1953,26,true
Julius Caesar,1953,26
The Robe,1953,26
Roman Holiday,1953,26
Shane,1953,26
On the Waterfront,1954,27,true
The Caine Mutiny,1954,27
The Country Girl,1954,27
Seven Brides for Seven Brothers,1954,27
Three Coins in the Fountain,1954,27
Marty,1955,28,true
Love is a Many-Splendored Thing,1955,28
Mister Roberts,1955,28
Picnic,1955,28
The Rose Tattoo,1955,28
Around the World in Eighty Days,1956,29,true
Friendly Persuasion,1956,29
Giant,1956,29
The King and I,1956,29
The Ten Commandments,1956,29
The Bridge on the River Kwai,1957,30,true
12 Angry Men,1957,30
Peyton Place,1957,30
Sayonara,1957,30
Witness for the Prosecution,1957,30
Gigi,1958,31,true
Auntie Mame,1958,31
Cat on a Hot Tin Roof,1958,31
The Defiant Ones,1958,31
Separate Tables,1958,31
Ben-Hur,1959,32,true
Anatomy of a Murder,1959,32
The Diary of Anne Frank,1959,32
The Nun's Story,1959,32
Room at the Top,1959,32
The Apartment,1960,33,true
The Alamo,1960,33
Elmer Gantry,1960,33
Sons and Lovers,1960,33
The Sundowners,1960,33
West Side Story,1961,34,true
Fanny,1961,34
The Guns of Navarone,1961,34,
The Hustler,1961,34
Judgment at Nuremberg,1961,34
Lawrence of Arabia,1962,35,true
The Longest Day,1962,35
The Music Man,1962,35
Mutiny on the Bounty,1962,35
To Kill a Mockingbird,1962,35
Tom Jones,1963,36,true
America, America,1963,36
Cleopatra,1963,36
How the West Was Won,1963,36
Liles of the Field,1963,36
My Fair Lady,1964,37,true
Becket,1964,37
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,37
Mary Poppins,1964,37
Zorba the Greek,1964,37
The Sound of Music,1965,38,true
Darling,1965,38
Doctor Zhivago,1965,38
Ship of Fools,1965,38
A Thousand Clowns,1965,38
